latency,peak_memory_MB,name,R,H,Do,Di,B,sweep_type,sweep_value
0.12063254117965698,0.657806396484375,mps_bmnc,2,128,2,1,32,H,128
0.528287239074707,1.4204158782958984,mps_bm,2,128,2,1,32,H,128
